ID,Issue_Key,Project_ID,Type,Priority,Status,Resolution,Creation_Date,Estimation_Date,Resolution_Date,Last_Updated,Story_Point,Timespent,In_Progress_Minutes,Total_Effort_Minutes,Resolution_Time_Minutes,Assignee_ID
109,XD-3724,1,Story,Minor,To Do,,2015-12-16 18:38:51,2015-12-16 18:38:51,,2015-12-16 18:38:51,2.0,,0.0,0.0,0.0,
110,XD-3723,1,Improvement,Minor,To Do,,2015-12-14 22:35:13,2015-12-14 22:35:13,,2015-12-14 22:35:13,5.0,,0.0,0.0,0.0,
111,XD-3722,1,Bug,Major,To Do,,2015-12-14 18:44:26,2015-12-14 18:44:26,,2016-01-31 01:30:48,1.0,,0.0,0.0,0.0,
112,XD-3721,1,Bug,Major,Done,Complete,2015-12-14 18:40:55,2015-12-14 18:40:55,2016-02-03 20:43:30,2016-02-03 20:43:30,1.0,,1284.0,1607.0,73562.0,93.0
113,XD-3720,1,Bug,Major,To Do,,2015-12-09 11:28:32,2015-12-09 11:28:32,,2015-12-09 11:28:32,2.0,,0.0,0.0,0.0,
114,XD-3719,1,Bug,Major,Done,Works as Designed,2015-12-09 06:21:39,2015-12-09 06:21:39,2016-02-08 18:36:35,2016-02-08 18:36:49,2.0,,0.0,0.0,88574.0,
115,XD-3718,1,Improvement,Minor,Done,Complete,2015-12-08 14:19:48,2015-12-08 14:19:48,2016-02-23 17:13:39,2016-02-23 17:56:32,1.0,,0.0,88.0,111053.0,104.0
116,XD-3717,1,Improvement,Minor,To Do,,2015-12-07 11:53:46,2015-12-07 11:53:46,,2015-12-07 11:53:46,5.0,,0.0,0.0,0.0,
117,XD-3716,1,Improvement,Minor,Done,Complete,2015-12-02 23:15:01,2015-12-02 23:15:01,2016-02-12 22:09:47,2016-02-23 18:19:32,2.0,,100.0,16136.0,103614.0,82.0
118,XD-3715,1,Story,Minor,Done,Complete,2015-11-30 15:11:45,2015-11-30 15:11:45,2015-12-08 20:25:41,2015-12-08 20:25:41,5.0,,1725.0,1725.0,11833.0,94.0
119,XD-3714,1,Story,Minor,Done,Complete,2015-11-30 14:33:01,2015-11-30 14:33:01,2015-12-02 16:39:59,2016-02-23 17:45:23,3.0,,1108.0,1108.0,3006.0,71.0
120,XD-3713,1,Bug,Major,To Do,,2015-11-27 13:11:27,2015-11-27 13:11:27,,2016-02-01 15:12:11,5.0,,0.0,0.0,0.0,84.0
121,XD-3712,1,Story,Minor,To Do,,2015-11-27 04:51:43,2015-11-27 04:51:43,,2015-11-30 02:11:34,1.0,,0.0,0.0,0.0,
122,XD-3711,1,Bug,Critical,To Do,,2015-11-25 08:51:22,2015-11-25 08:51:22,,2015-12-09 11:17:06,5.0,,0.0,0.0,0.0,
123,XD-3710,1,Bug,Major,To Do,,2015-11-24 13:59:57,2015-11-24 13:59:57,,2016-02-01 15:12:11,8.0,,0.0,0.0,0.0,84.0
124,XD-3709,1,Bug,Minor,Done,Complete,2015-11-21 16:59:25,2015-11-21 16:59:25,2015-12-17 18:15:59,2016-01-28 11:40:37,1.0,,34.0,24440.0,37516.0,82.0
125,XD-3708,1,Story,Minor,Done,Complete,2015-11-16 19:16:45,2015-11-16 19:16:45,2015-11-18 18:04:15,2015-11-18 18:04:15,1.0,,0.0,65.0,2807.0,107.0
126,XD-3707,1,Bug,Minor,To Do,,2015-11-15 21:52:20,2015-11-15 21:52:20,,2015-11-29 19:24:12,1.0,,0.0,0.0,0.0,93.0
127,XD-3706,1,Bug,Minor,Done,Deferred,2015-11-12 17:17:26,2015-11-12 17:17:26,2015-11-14 16:01:28,2015-11-16 16:13:38,1.0,,0.0,0.0,2804.0,94.0
128,XD-3705,1,Story,Minor,Done,Complete,2015-11-12 15:57:59,2015-11-12 15:57:59,2015-11-12 15:58:36,2015-11-12 15:58:36,5.0,,0.0,0.0,0.0,82.0
129,XD-3704,1,Bug,Minor,In Progress,,2015-11-12 12:27:27,2015-11-12 12:27:27,,2015-11-13 12:29:53,8.0,,0.0,0.0,0.0,
130,XD-3703,1,Improvement,Minor,To Do,,2015-11-12 10:11:40,2015-11-12 10:11:40,,2015-11-12 14:39:46,3.0,,0.0,0.0,0.0,
131,XD-3702,1,Story,Minor,Done,Complete,2015-11-11 16:48:35,2015-11-11 16:48:35,2015-11-18 16:05:29,2015-11-18 16:05:29,3.0,,1066.0,1176.0,10036.0,104.0
132,XD-3701,1,Story,Minor,Done,Complete,2015-11-11 15:44:36,2015-11-11 15:44:36,2015-11-12 17:15:28,2015-11-12 17:15:28,1.0,,6.0,1196.0,1530.0,82.0
133,XD-3700,1,Improvement,Minor,To Do,,2015-11-11 13:21:26,2015-11-11 13:21:26,,2015-11-11 13:22:17,20.0,,0.0,0.0,0.0,
134,XD-3699,1,Improvement,Minor,Done,Complete,2015-11-09 22:58:04,2015-11-09 22:58:04,2015-11-10 17:30:49,2015-11-10 17:30:49,1.0,,0.0,127.0,1112.0,94.0
135,XD-3698,1,Bug,Minor,Done,Complete,2015-11-09 20:58:14,2015-11-09 20:58:14,2015-11-13 14:59:22,2015-11-13 14:59:22,1.0,,1751.0,2796.0,5401.0,93.0
136,XD-3697,1,Bug,Minor,Done,Complete,2015-11-09 16:32:05,2015-11-09 16:32:05,2015-11-17 15:22:12,2015-11-17 15:22:12,1.0,,16.0,11194.0,11450.0,82.0
137,XD-3696,1,Story,Minor,Done,Complete,2015-11-09 16:25:20,2015-11-09 16:25:20,2015-11-17 16:40:14,2015-11-17 16:40:14,1.0,,9.0,1386.0,11534.0,82.0
138,XD-3695,1,Story,Minor,Done,Complete,2015-11-09 16:24:29,2015-11-09 16:24:29,2015-11-13 14:28:31,2015-11-13 14:28:31,1.0,,144.0,1101.0,5644.0,84.0
139,XD-3694,1,Story,Minor,To Do,,2015-11-09 15:44:36,2015-11-09 15:44:36,,2015-11-09 15:44:36,1.0,,0.0,0.0,0.0,
140,XD-3693,1,Story,Minor,Done,Complete,2015-11-06 16:15:53,2015-11-06 16:15:53,2015-11-07 15:12:44,2015-11-07 15:12:44,1.0,,20.0,1371.0,1376.0,82.0
141,XD-3692,1,Story,Minor,Done,Complete,2015-11-06 16:09:22,2015-11-06 16:09:22,2015-11-24 14:36:27,2015-11-24 14:36:27,5.0,,25826.0,25826.0,25827.0,71.0
142,XD-3691,1,Bug,Minor,Done,Complete,2015-11-06 02:14:49,2015-11-06 02:14:49,2015-11-17 16:15:16,2015-11-17 16:15:16,2.0,,263.0,1503.0,16680.0,93.0
143,XD-3690,1,Story,Minor,Done,Complete,2015-11-05 21:23:45,2015-11-05 21:23:45,2015-11-18 20:16:10,2015-11-18 20:16:10,1.0,,1.0,17061.0,18652.0,84.0
144,XD-3689,1,Story,Minor,Done,Complete,2015-11-05 14:03:34,2015-11-05 14:03:34,2015-11-05 18:58:31,2015-11-06 00:14:17,3.0,,292.0,292.0,294.0,108.0
145,XD-3688,1,Story,Minor,To Do,,2015-11-04 19:45:00,2015-11-04 19:45:00,,2015-11-04 19:45:00,2.0,,0.0,0.0,0.0,
146,XD-3687,1,Story,Minor,Done,Won't Fix,2015-11-04 16:37:10,2015-11-04 16:37:10,2015-11-05 18:57:30,2015-11-05 18:57:30,1.0,,1459.0,1459.0,1580.0,108.0
147,XD-3686,1,Bug,Minor,Done,Invalid,2015-11-04 13:44:00,2015-11-04 13:44:00,2015-11-04 15:25:07,2015-11-04 15:25:07,1.0,,0.0,0.0,101.0,
148,XD-3685,1,Bug,Minor,Done,Complete,2015-11-02 20:54:40,2015-11-02 20:54:40,2015-11-05 14:44:31,2015-11-05 14:44:31,3.0,,2731.0,3924.0,3949.0,93.0
149,XD-3684,1,Bug,Minor,Done,Complete,2015-11-02 19:30:31,2015-11-02 19:30:31,2015-11-13 22:36:41,2015-11-13 22:36:41,3.0,,1233.0,1415.0,16026.0,107.0
150,XD-3683,1,Bug,Minor,Done,Complete,2015-11-02 19:27:53,2015-11-02 19:27:53,2015-11-11 18:57:35,2015-11-11 18:57:35,1.0,,0.0,11475.0,12929.0,108.0
151,XD-3682,1,Story,Minor,Done,Invalid,2015-11-02 17:24:11,2015-11-02 17:24:11,2015-11-06 17:28:08,2015-11-06 17:28:08,3.0,,0.0,0.0,5763.0,
152,XD-3681,1,Story,Minor,Done,Invalid,2015-11-02 17:23:46,2015-11-02 17:23:46,2015-11-06 17:27:56,2015-11-06 17:27:56,1.0,,0.0,0.0,5764.0,
153,XD-3680,1,Story,Minor,Done,Deferred,2015-11-02 17:23:17,2015-11-02 17:23:17,2015-11-14 16:23:20,2015-11-16 16:10:39,1.0,,11841.0,11841.0,17220.0,94.0
154,XD-3679,1,Story,Minor,Done,Invalid,2015-11-02 17:21:38,2015-11-02 17:21:38,2015-11-06 17:27:45,2015-11-06 17:27:45,3.0,,0.0,0.0,5766.0,
155,XD-3678,1,Story,Minor,Done,Invalid,2015-11-02 17:21:00,2015-11-02 17:21:00,2015-11-06 17:27:25,2015-11-06 17:27:32,3.0,,0.0,0.0,5766.0,
156,XD-3677,1,Story,Minor,To Do,,2015-11-02 17:14:50,2015-11-02 17:14:50,,2015-11-29 19:24:12,3.0,,0.0,0.0,0.0,
157,XD-3676,1,Story,Minor,To Do,,2015-11-02 17:14:25,2015-11-02 17:14:25,,2015-11-29 19:24:12,3.0,,0.0,0.0,0.0,
158,XD-3675,1,Story,Minor,Done,Deferred,2015-11-02 17:13:36,2015-11-02 17:13:36,2015-11-14 18:03:25,2015-11-14 18:03:29,3.0,,0.0,0.0,17329.0,
159,XD-3674,1,Technical task,Minor,In Progress,,2015-11-02 17:12:58,2015-11-02 17:12:58,,2015-11-13 15:23:08,3.0,,0.0,0.0,0.0,110.0
160,XD-3673,1,Bug,Minor,Done,Complete,2015-11-02 16:59:41,2015-11-02 16:59:41,2015-11-17 20:29:41,2015-11-17 20:29:41,5.0,,1.0,7076.0,21810.0,104.0
161,XD-3672,1,Story,Minor,Done,Complete,2015-11-02 15:34:40,2015-11-02 15:34:40,2015-12-08 20:33:12,2015-12-08 20:33:12,2.0,,0.0,50599.0,52138.0,94.0
162,XD-3671,1,Story,Minor,Done,Deferred,2015-11-02 01:09:45,2015-11-02 01:09:45,2015-11-14 16:22:06,2015-11-16 16:12:41,5.0,,0.0,0.0,18192.0,
163,XD-3670,1,Story,Minor,Done,Complete,2015-10-30 23:49:41,2015-10-30 23:49:41,2015-11-13 23:55:28,2015-11-13 23:55:28,5.0,,4584.0,4584.0,20165.0,108.0
164,XD-3669,1,Story,Minor,Done,Complete,2015-10-30 23:17:51,2015-10-30 23:17:51,2015-11-18 18:15:58,2015-11-18 18:15:58,1.0,,8.0,135.0,27058.0,78.0
165,XD-3668,1,Story,Minor,Done,Deferred,2015-10-30 23:12:41,2015-10-30 23:12:41,2015-11-14 16:22:06,2015-11-16 16:12:34,1.0,,0.0,0.0,21189.0,
166,XD-3667,1,Bug,Minor,Done,Invalid,2015-10-30 23:09:42,2015-10-30 23:09:42,2015-11-24 14:47:44,2015-11-24 14:47:46,1.0,,0.0,0.0,35498.0,
167,XD-3666,1,Story,Minor,Done,Deferred,2015-10-30 23:04:46,2015-10-30 23:04:46,2015-11-14 16:22:06,2015-11-16 16:12:28,1.0,,0.0,0.0,21197.0,
168,XD-3665,1,Bug,Minor,Done,Deferred,2015-10-30 23:02:08,2015-10-30 23:02:08,2015-11-14 16:22:06,2015-11-16 16:11:03,1.0,,0.0,0.0,21199.0,
169,XD-3664,1,Story,Minor,Done,Deferred,2015-10-30 22:59:57,2015-10-30 22:59:57,2015-11-14 16:22:06,2015-11-16 16:12:19,2.0,,0.0,0.0,21202.0,
170,XD-3663,1,Bug,Minor,Done,Deferred,2015-10-30 22:58:38,2015-10-30 22:58:38,2015-11-14 16:22:06,2015-11-16 16:10:57,2.0,,0.0,0.0,21203.0,
171,XD-3662,1,Story,Minor,Done,Deferred,2015-10-30 22:47:27,2015-10-30 22:47:27,2015-11-14 16:23:20,2015-11-16 16:10:45,2.0,,13043.0,13043.0,21215.0,93.0
172,XD-3661,1,Story,Minor,To Do,,2015-10-30 22:44:37,2015-10-30 22:44:37,,2015-11-29 19:24:12,5.0,,0.0,0.0,0.0,
173,XD-3660,1,Technical task,Minor,In Progress,,2015-10-30 22:42:14,2015-10-30 22:42:14,,2015-11-13 15:23:04,5.0,,0.0,0.0,0.0,110.0
174,XD-3659,1,Story,Minor,Done,Invalid,2015-10-30 22:38:41,2015-10-30 22:38:41,2015-11-02 17:15:14,2015-11-02 17:15:14,5.0,,0.0,0.0,3996.0,
175,XD-3658,1,Bug,Minor,To Do,,2015-10-29 20:38:10,2015-10-29 20:38:10,,2015-10-29 20:38:10,3.0,,0.0,0.0,0.0,
176,XD-3657,1,Bug,Major,To Do,,2015-10-29 20:30:27,2015-10-29 20:30:27,,2015-10-29 20:30:27,5.0,,0.0,0.0,0.0,
177,XD-3656,1,Story,Minor,Done,Invalid,2015-10-29 15:25:33,2015-10-29 15:25:33,2015-11-06 17:26:49,2015-11-06 17:26:51,3.0,,0.0,0.0,11641.0,
178,XD-3655,1,Technical task,Minor,Done,Complete,2015-10-29 14:57:47,2015-10-29 14:57:47,2015-10-30 19:01:56,2015-10-30 19:31:42,1.0,,1519.0,1577.0,1684.0,93.0
179,XD-3654,1,Story,Minor,Done,Complete,2015-10-29 14:47:36,2015-10-29 14:47:36,2015-10-30 21:24:55,2015-10-30 21:24:55,3.0,,1430.0,1836.0,1837.0,108.0
180,XD-3653,1,Bug,Major,Done,Invalid,2015-10-29 14:21:10,2015-10-29 14:21:10,2015-10-30 23:18:50,2015-10-31 00:00:07,2.0,,0.0,0.0,1977.0,
181,XD-3652,1,Bug,Major,Done,Complete,2015-10-28 18:46:21,2015-10-28 18:46:21,2015-11-17 15:22:23,2015-11-17 15:22:23,5.0,,0.0,25894.0,28596.0,112.0
182,XD-3651,1,Improvement,Minor,Done,Complete,2015-10-28 17:47:23,2015-10-28 17:47:23,2015-10-30 13:24:24,2015-11-02 17:43:37,1.0,,0.0,0.0,2617.0,84.0
183,XD-3650,1,Bug,Major,To Do,,2015-10-28 09:10:01,2015-10-28 09:10:01,,2016-06-03 15:29:46,0.0,,0.0,0.0,0.0,
184,XD-3649,1,Story,Minor,Done,Deferred,2015-10-27 22:59:39,2015-10-27 22:59:39,2015-11-01 23:41:45,2015-11-02 17:41:45,8.0,,0.0,0.0,7242.0,
185,XD-3648,1,Bug,Minor,Done,Cannot Reproduce,2015-10-27 18:44:47,2015-10-27 18:44:47,2015-10-28 15:52:13,2015-10-28 15:52:13,1.0,,114.0,1242.0,1267.0,93.0
186,XD-3647,1,Story,Minor,To Do,,2015-10-27 17:57:08,2015-10-27 17:57:08,,2015-10-27 17:57:08,2.0,,0.0,0.0,0.0,
187,XD-3646,1,Improvement,Major,To Do,,2015-10-27 17:47:51,2015-10-27 17:47:51,,2015-10-27 17:56:37,5.0,,0.0,0.0,0.0,
188,XD-3645,1,Bug,Minor,Done,Complete,2015-10-27 02:57:42,2015-10-27 02:57:42,2015-11-13 23:56:47,2015-11-13 23:56:47,2.0,,6255.0,6255.0,25739.0,72.0
189,XD-3644,1,Story,Minor,Done,Complete,2015-10-26 18:54:06,2015-10-26 18:54:06,2015-10-27 21:06:53,2015-10-27 21:06:53,5.0,,1115.0,1572.0,1572.0,103.0
190,XD-3643,1,Improvement,Minor,To Do,,2015-10-26 17:39:04,2015-10-26 17:39:04,,2015-10-26 17:41:56,5.0,,0.0,0.0,0.0,
191,XD-3642,1,Bug,Minor,To Do,,2015-10-25 18:46:27,2015-10-25 18:46:27,,2015-10-30 12:46:02,3.0,,0.0,0.0,0.0,
192,XD-3641,1,Story,Minor,Done,Complete,2015-10-23 15:14:05,2015-10-23 14:14:05,2015-10-23 23:21:14,2015-10-23 23:21:14,3.0,,0.0,486.0,487.0,82.0
193,XD-3640,1,Story,Minor,To Do,,2015-10-23 13:29:37,2015-10-23 12:29:37,,2015-10-23 13:29:37,5.0,,0.0,0.0,0.0,
194,XD-3639,1,Story,Minor,Done,Deferred,2015-10-23 13:13:39,2015-10-23 12:13:39,2015-11-14 16:01:28,2015-11-16 16:13:44,2.0,,0.0,0.0,31907.0,
195,XD-3638,1,Improvement,Minor,To Do,,2015-10-22 14:10:45,2015-10-22 13:10:45,,2015-10-22 14:10:45,1.0,,0.0,0.0,0.0,
196,XD-3637,1,Story,Minor,Done,Complete,2015-10-21 22:54:38,2015-10-21 21:54:38,2015-10-27 18:38:57,2015-10-27 18:38:57,1.0,,8.0,1251.0,8444.0,82.0
197,XD-3636,1,Story,Minor,Done,Complete,2015-10-21 22:53:02,2015-10-21 21:53:02,2015-10-30 20:16:24,2015-10-30 20:16:24,1.0,,1403.0,12863.0,12863.0,103.0
198,XD-3635,1,Story,Minor,Done,Deferred,2015-10-21 22:41:10,2015-10-21 21:41:10,2015-11-14 18:17:17,2015-11-14 18:17:19,8.0,,0.0,0.0,34356.0,72.0
199,XD-3634,1,Story,Minor,To Do,,2015-10-21 10:07:50,2015-10-21 09:07:50,,2015-10-21 10:07:50,3.0,,0.0,0.0,0.0,
200,XD-3633,1,Story,Minor,Done,Complete,2015-10-19 23:31:37,2015-10-19 22:31:37,2015-10-20 09:48:09,2015-10-20 09:48:09,1.0,,0.0,0.0,616.0,94.0
201,XD-3632,1,Bug,Trivial,Done,Complete,2015-10-19 23:29:26,2015-10-19 22:29:26,2015-10-26 17:34:00,2015-10-26 22:14:31,0.0,,0.0,0.0,9784.0,72.0
202,XD-3631,1,Story,Minor,Done,Deferred,2015-10-19 22:36:43,2015-10-19 21:36:43,2015-11-14 16:01:28,2015-11-30 16:34:23,2.0,,0.0,0.0,37104.0,
203,XD-3630,1,Story,Minor,To Do,,2015-10-19 20:48:51,2015-10-19 19:48:51,,2015-11-29 19:24:12,5.0,,0.0,0.0,0.0,
204,XD-3629,1,Bug,Minor,Done,Complete,2015-10-19 17:50:50,2015-10-19 16:50:50,2015-11-02 15:39:54,2015-11-02 15:39:54,3.0,,0.0,0.0,20089.0,71.0
205,XD-3628,1,Bug,Minor,To Do,,2015-10-19 17:47:59,2015-10-19 16:47:59,,2015-11-14 18:25:37,1.0,,0.0,0.0,0.0,71.0
206,XD-3627,1,Story,Minor,Done,Complete,2015-10-19 17:02:06,2015-10-19 16:02:06,2015-10-28 17:12:39,2015-10-28 17:12:39,1.0,,7657.0,10203.0,13030.0,72.0
207,XD-3626,1,Technical task,Minor,To Do,,2015-10-19 16:45:44,2015-10-19 15:45:44,,2015-11-02 15:36:49,5.0,,0.0,0.0,0.0,112.0
208,XD-3625,1,Technical task,Minor,In Progress,,2015-10-19 16:42:59,2015-10-19 15:42:59,,2015-11-02 19:48:54,2.0,,10159.0,10159.0,0.0,112.0
209,XD-3624,1,Story,Minor,Done,Deferred,2015-10-19 15:11:33,2015-10-19 14:11:33,2015-11-14 16:23:20,2015-11-16 16:10:51,8.0,,4096.0,4096.0,37571.0,110.0
210,XD-3623,1,Bug,Major,To Do,,2015-10-19 03:06:01,2015-10-19 02:06:01,,2016-01-22 00:41:33,5.0,,0.0,0.0,0.0,
211,XD-3622,1,Story,Minor,Done,Complete,2015-10-18 15:48:21,2015-10-18 14:48:21,2015-10-29 16:04:37,2015-10-29 16:04:37,3.0,,4384.0,14182.0,15916.0,82.0
212,XD-3621,1,Bug,Major,Done,Complete,2015-10-16 17:44:02,2015-10-16 16:44:02,2015-11-06 21:32:16,2015-11-06 21:32:16,3.0,,0.0,257.0,30528.0,104.0
213,XD-3620,1,Bug,Major,To Do,,2015-10-16 14:32:50,2015-10-16 13:32:50,,2015-10-16 14:36:52,5.0,,0.0,0.0,0.0,
