project_id,project_key,project_name,Total_Issues,Unique_Issues,Issues_With_Created,Issues_With_Resolution,Completed_Issues,Total_Story_Points,Average_Story_Points,Total_Worklog_Hours,Average_Task_Duration_Days,Median_Task_Duration_Days,Average_Transitions,Average_Reassignments,Average_Reopens,Total_Reopens,Total_Worklogs,Total_Dependencies,Total_Blocking_Issues,Total_Blocked_By,Earliest_Created,Latest_Created,Earliest_Resolution,Latest_Resolution,Completion_Percentage,Resolution_Coverage_Percentage,Project_Duration_Days,Usable_Temporal_Data
10001,DURACLOUD,DuraCloud,1201,1201,1,0,983,1381.0,2.0735735735735736,0.0,,,1.810158201498751,0.6353039134054954,0.014154870940882597,17,0,280,0,0,2015-09-11 21:44:56+00:00,2015-09-11 21:44:56+00:00,,,81.84845961698585,0.0,,False
10001,FAT,Folio Automation Testing,20402,20402,10869,10041,19202,6998.6,0.8660561811656974,0.0,39.826582155503125,6.077789351851852,2.1283207528673658,1.3139888246250369,0.0,0,0,17744,180,286,2020-07-23 13:24:13+00:00,2025-08-26 23:17:14+00:00,2020-09-29 13:11:26+00:00,2025-02-13 15:56:18+00:00,94.11822370355848,49.21576316047446,1666.1056134259259,True
10001,QCADOO,qcadoo Framework,450,450,2,0,440,85.0,4.0476190476190474,1456.916666672,,,3.2066666666666666,1.4955555555555555,0.10444444444444445,47,559,157,32,7,2012-07-16 12:44:15+00:00,2014-09-25 12:33:37+00:00,,,97.77777777777777,0.0,,False
10001,RAC,RackHD,5989,5989,2795,5,5917,5659.0,2.6973307912297426,0.0,274.6150347222222,305.78109953703705,2.108031390883286,0.5637001168809485,0.0,0,0,922,67,67,2015-04-21 07:00:00+00:00,2017-08-11 02:59:34+00:00,2017-03-13 21:44:32+00:00,2018-06-19 21:13:06+00:00,98.79779595925864,0.08348639171814994,1155.5924305555557,True
10001,USPSR,USPS-R,7005,7005,11,1,6711,4483.0,1.0963560772805088,31104.949999908,,,4.859957173447538,0.8762312633832976,0.053818700927908636,377,9062,2003,1,0,2010-09-23 19:22:01+00:00,2025-08-27 14:44:13+00:00,2014-11-03 18:34:37+00:00,2014-11-03 18:34:37+00:00,95.80299785867238,0.014275517487508924,1501.9670833333332,False
10002,IDMP,Pistoia Alliance IDMP Ontology,673,673,576,358,587,838.0,6.758064516129032,4.0,52.5134421878233,28.727332175925927,3.0208023774145616,0.4115898959881129,0.0,0,2,266,40,40,2022-03-16 09:24:15+00:00,2024-01-19 11:27:11+00:00,2022-03-30 15:23:50+00:00,2023-10-27 20:02:13+00:00,87.22139673105498,53.19465081723626,590.4430324074074,True
10002,POLICY,Policy Framework,5400,5400,4911,3618,5342,1116.0,7.063291139240507,448.0,72.17568748656409,22.0378125,3.1753703703703704,0.6592592592592592,0.045,243,18,1508,293,267,2017-03-03 22:19:56+00:00,2024-03-13 11:00:27+00:00,2017-04-25 13:42:12+00:00,2024-03-20 09:41:37+00:00,98.92592592592592,67.0,2573.4733912037036,True
10002,UIOR,ui-orders,1081,1081,913,839,982,1196.0,1.395565927654609,0.0,54.6210128349446,17.29885416666667,4.815911193339501,2.5661424606845515,0.0,0,0,2933,96,164,2018-09-05 16:59:24+00:00,2024-01-30 22:48:01+00:00,2018-10-19 09:38:36+00:00,2024-02-01 11:00:20+00:00,90.84181313598519,77.61332099907493,1974.7506481481482,True
10002,USASR,USAS-R,5318,5318,4,3,4795,1704.5,1.1995073891625616,38044.48333333,,,4.028018051899211,0.7837532907107936,0.04061677322301617,216,10891,3345,1,1,2012-11-30 15:17:42+00:00,2025-01-03 20:14:59+00:00,2010-01-07 16:45:05+00:00,2014-12-18 13:25:31+00:00,90.16547574276044,0.056412185031966905,747.9220949074074,False
10003,ICN,Integrated Cloud Native NFV,648,648,648,351,481,1409.0,3.558080808080808,368.0,42.777856883771236,18.551238425925927,1.6049382716049383,0.1697530864197531,0.0,0,13,96,22,22,2019-07-26 16:26:52+00:00,2022-07-19 00:52:15+00:00,2019-08-06 17:31:07+00:00,2022-05-31 16:13:50+00:00,74.22839506172839,54.166666666666664,1039.990949074074,True
10003,OPMONDEV,X-Road Metrics Development,187,187,0,0,159,471.0,5.064516129032258,0.0,,,2.7058823529411766,0.5294117647058824,0.0,0,0,53,21,21,,,,,85.02673796791443,0.0,,False
10003,ST,Sovrin Token,622,622,483,321,527,1075.0,3.4345047923322682,0.5,17.089749913464868,10.185416666666667,0.7813504823151125,0.26366559485530544,0.0,0,1,275,49,49,2017-10-27 05:01:00+00:00,2019-06-19 16:40:17+00:00,2018-03-13 02:47:00+00:00,2018-10-29 20:35:00+00:00,84.72668810289389,51.60771704180064,367.6486111111111,True
10003,UIREQ,ui-requests,1078,1078,875,810,1016,1236.5,1.7689556509298998,36.25,78.62947953818015,20.978929398148146,3.896103896103896,1.0213358070500929,0.0,0,23,2408,82,202,2017-07-08 12:50:53+00:00,2024-01-30 17:57:51+00:00,2017-07-17 11:56:31+00:00,2024-01-31 21:10:27+00:00,94.24860853432281,75.139146567718,2398.3469212962964,True
10004,AAI,Active and Available Inventory,4077,4077,3700,2313,3862,190.0,5.757575757575758,75.25,66.90622902355447,19.03505787037037,2.3473142016188375,0.4086337993622762,0.020358106450821683,83,10,2296,199,138,2017-03-07 13:27:57+00:00,2025-07-17 10:56:02+00:00,2017-04-21 12:17:59+00:00,2023-11-02 15:10:13+00:00,94.72651459406426,56.73289183222958,2431.0710185185185,True
10004,BP,Bereitschaftsplanung,791,791,0,1,770,674.0,4.884057971014493,0.0,,,1.6940581542351454,0.9443742098609356,0.0,0,0,21,3,4,,,2018-09-19 14:50:49+00:00,2018-09-19 14:50:49+00:00,97.34513274336283,0.12642225031605564,,False
10004,NEDS,Harmony eDelivery Access,216,216,0,0,196,302.0,3.5952380952380953,0.0,,,2.884259259259259,0.8333333333333334,0.0,0,0,150,29,29,,,,,90.74074074074075,0.0,,False
10004,PERF,perf-testing,1079,1079,705,555,825,1799.0,3.0388513513513513,0.0,68.92684081998665,22.160891203703702,2.5755329008341055,1.0481927710843373,0.0,0,0,1455,63,155,2020-03-27 13:40:16+00:00,2024-08-29 14:58:01+00:00,2020-04-08 13:27:49+00:00,2024-02-02 14:55:39+00:00,76.45968489341983,51.43651529193698,1407.0523495370371,True
10005,MAID,ARCHIVED - MaidSafe-Core,1612,1612,0,0,184,6368.0,5.306666666666667,0.0,,,4.03287841191067,1.4249379652605458,0.0,0,0,566,202,202,,,,,11.41439205955335,0.0,,False
10005,STSMACOM,stripes-smart-components,805,805,714,676,780,765.0,1.8301435406698565,109.0,72.41957946389437,17.621313657407406,3.396273291925466,0.822360248447205,0.0,0,74,1446,130,74,2017-08-30 19:43:37+00:00,2024-02-02 11:35:34+00:00,2017-09-07 19:43:54+00:00,2024-02-01 10:31:14+00:00,96.8944099378882,83.97515527950311,2345.616400462963,True
10006,DATASTD,Ed-Fi Data Standard,1699,1699,56,4,1594,970.5,2.013485477178423,66.016666662,,,4.257798705120659,2.983519717480871,0.028840494408475574,49,45,1758,34,34,2013-01-21 16:49:46+00:00,2024-05-02 15:14:18+00:00,2016-04-06 00:01:14+00:00,2024-07-31 17:36:09+00:00,93.81989405532666,0.23543260741612712,4209.032210648148,False
10006,MODKBEKBJ,mod-kb-ebsco-java,707,707,671,645,698,1492.0,2.546075085324232,0.0,78.28600529356876,21.08877314814815,3.6152758132956153,0.9717114568599717,0.0,0,0,1873,130,119,2018-09-11 20:17:00+00:00,2024-01-05 16:50:39+00:00,2018-10-08 11:11:14+00:00,2023-12-01 12:46:48+00:00,98.72701555869872,91.23055162659122,1906.6873611111112,True
10007,APPC,Application Controller,1896,1896,1896,1193,1889,25.0,0.2066115702479339,8.0,45.246259488218314,12.74537037037037,3.3591772151898733,0.54957805907173,0.0189873417721519,36,1,362,43,48,2017-03-04 00:46:48+00:00,2023-05-15 13:10:10+00:00,2017-04-11 10:00:48+00:00,2023-06-06 16:09:31+00:00,99.63080168776372,62.92194092827004,2285.640775462963,True
10007,INV,Inventory,598,598,0,0,529,573.0,1.2429501084598698,4911.866666663,,,2.5066889632107023,0.7876254180602007,0.0,0,604,287,0,0,,,,,88.46153846153845,0.0,,False
10007,MSEARCH,mod-search,933,933,585,505,857,1309.5,1.8841726618705037,0.0,40.63568873762376,22.115833333333335,4.509110396570204,0.9989281886387996,0.0,0,0,2821,135,67,2020-08-31 15:09:15+00:00,2024-02-01 14:36:45+00:00,2020-12-23 13:11:37+00:00,2024-01-31 16:56:25+00:00,91.85423365487674,54.12647374062165,1248.0744212962964,True
10007,SSTOOLKIT,Security Server Toolkit,138,138,0,1,125,434.0,3.5867768595041323,0.0,,,4.036231884057971,1.036231884057971,0.0,0,0,26,0,0,,,2021-07-21 11:06:11+00:00,2021-07-21 11:06:11+00:00,90.57971014492753,0.7246376811594203,,False
10008,SI,Störungsinformation,2587,2587,3,1,2560,767.0,5.1824324324324325,0.0,,,1.709702357943564,1.0007730962504833,0.0,0,0,68,2,2,2020-03-27 14:08:41+00:00,2020-07-27 09:18:17+00:00,2020-09-17 08:41:58+00:00,2020-09-17 08:41:58+00:00,98.9563200618477,0.038654812524159254,173.7731134259259,False
10008,UPLOAD,Tidepool Uploader - PUBLIC,1484,1484,2,0,789,1145.0,2.7524038461538463,126.18333333999999,,,2.6630727762803232,1.3106469002695418,0.0,0,17,938,29,29,2019-08-02 22:15:07+00:00,2020-07-17 16:06:36+00:00,,,53.16711590296496,0.0,,False
10009,CIRCSTORE,mod-circulation-storage,523,523,433,386,465,609.0,1.801775147928994,12.916666667,73.26946422558922,13.935682870370371,3.2963671128107075,0.8413001912045889,0.0,0,8,1314,204,92,2017-03-17 10:54:50+00:00,2024-01-31 14:38:54+00:00,2017-04-25 13:42:51+00:00,2024-09-02 07:31:38+00:00,88.91013384321224,73.80497131931166,2725.858888888889,True
10009,MOSIP,MOSIP,30649,30649,31,4,24471,2363.25,3.2153061224489794,125538.974999967,,,4.393096022708734,1.5238343828509902,0.002218669450879311,68,34688,15482,1564,1562,2020-03-26 12:23:25+00:00,2025-08-18 13:15:18+00:00,2020-04-01 06:28:05+00:00,2024-08-14 04:08:58+00:00,79.84273548892297,0.013050996769878299,1601.6566319444444,False
10009,XRDDEV,X-Road Development,2872,2872,2,1,2525,8274.0,4.568746548868028,0.0,,,3.1814066852367686,0.9843314763231198,0.0,0,0,2134,480,480,2019-08-24 12:15:23+00:00,2020-02-25 14:04:54+00:00,2019-12-02 11:24:03+00:00,2019-12-02 11:24:03+00:00,87.91782729805014,0.034818941504178275,99.96435185185184,False
10010,DAOS,DAOS,16220,16220,7561,4648,14907,51172.3,3.74230656720784,0.0,121.76409597858249,36.35599537037037,2.2516029593094946,0.8372379778051788,0.048890258939580766,793,0,11214,15,1213,2015-07-21 01:29:51+00:00,2025-07-10 05:17:54+00:00,2016-04-05 15:02:41+00:00,2025-05-09 16:16:07+00:00,91.90505548705302,28.65598027127004,3580.6154629629627,True
10011,AAF,Application Authorization Framework,1187,1187,1187,841,1164,301.0,3.1354166666666665,646.1,64.4693474754481,16.217418981481483,3.0657118786857622,0.44650379106992416,0.02695871946082561,32,148,300,58,35,2017-07-12 21:11:14+00:00,2023-08-21 13:11:24+00:00,2017-07-28 14:01:27+00:00,2023-08-21 13:11:24+00:00,98.06234203875316,70.8508845829823,2230.6667824074075,True
10011,UINV,ui-invoice,471,471,409,364,432,480.5,1.2164556962025317,0.0,48.46641620243183,18.861394675925926,4.934182590233545,2.6008492569002124,0.0,0,0,1169,50,71,2019-02-11 19:00:15+00:00,2025-05-19 14:52:46+00:00,2019-05-21 21:13:12+00:00,2024-02-02 19:03:47+00:00,91.71974522292994,77.2823779193206,1817.0024537037036,True
10012,MODEXPW,mod-data-export-worker,498,498,384,363,480,702.5,1.7218137254901962,0.0,44.82312952759922,18.965428240740742,4.759036144578313,1.357429718875502,0.0,0,0,1246,80,62,2021-01-13 16:44:03+00:00,2024-02-01 13:13:29+00:00,2021-03-17 09:16:39+00:00,2024-01-22 16:08:04+00:00,96.3855421686747,72.89156626506023,1103.9750115740742,True
10013,MODINREACH,mod-inn-reach,478,478,383,369,445,968.0,2.482051282051282,0.0,51.1783826094048,18.863368055555554,3.696652719665272,1.5753138075313808,0.0,0,0,875,44,28,2020-11-02 07:30:28+00:00,2024-01-17 07:27:25+00:00,2021-04-06 12:17:58+00:00,2024-01-19 21:40:00+00:00,93.09623430962343,77.19665271966527,1173.5899537037037,True
10016,MODDICORE,data-import-processing-core,380,380,314,291,349,685.5,1.98121387283237,0.0,44.28174561696576,16.78150462962963,4.276315789473684,1.1605263157894736,0.0,0,0,1617,198,179,2019-06-12 13:56:40+00:00,2023-12-18 10:35:58+00:00,2019-10-23 09:26:51+00:00,2024-01-31 21:08:18+00:00,91.84210526315789,76.57894736842105,1694.2997453703704,True
10017,MODORDSTOR,mod-orders-storage,388,388,311,279,359,463.0,1.4745222929936306,0.0,56.86627348002124,20.085775462962964,4.097938144329897,2.1391752577319587,0.0,0,0,1176,99,71,2018-08-08 16:54:29+00:00,2024-01-31 14:07:20+00:00,2018-09-05 15:41:48+00:00,2024-02-01 08:27:01+00:00,92.5257731958763,71.90721649484536,2002.6475925925927,True
10022,TECH,Technical Committee,958,958,3,0,637,714.0,1.7805486284289276,5736.25,,,3.7254697286012526,2.1127348643006263,0.0,0,2101,375,119,119,2023-01-09 09:28:45+00:00,2023-02-16 22:29:52+00:00,,,66.49269311064718,0.0,,False
10024,ALEC,Architecture for Learning Enabled Correlation (ALEC),279,279,0,0,195,179.0,3.5098039215686274,0.0,,,1.6702508960573477,0.4265232974910394,0.014336917562724014,4,0,73,0,4,,,,,69.89247311827957,0.0,,False
10024,USPSRFB,USPS-R Feedback,1803,1803,2,0,408,68.0,1.619047619047619,0.0,,,0.8646699944536883,0.02384914032168608,0.0011092623405435386,2,0,265,0,0,2021-10-15 18:35:48+00:00,2023-10-13 15:40:30+00:00,,,22.628951747088184,0.0,,False
10026,MODELINKS,mod-entities-links,283,283,170,147,262,461.5,1.9309623430962344,0.0,38.315661060720586,17.244305555555556,5.420494699646643,0.911660777385159,0.0,0,0,1141,37,42,2022-08-11 08:06:42+00:00,2024-02-01 14:49:40+00:00,2022-08-25 08:03:12+00:00,2024-02-02 17:34:17+00:00,92.57950530035336,51.9434628975265,540.3941550925925,True
10026,TOB,Stellungnahme TöB,525,525,0,0,499,330.0,2.7966101694915255,0.0,,,1.8342857142857143,0.878095238095238,0.0,0,0,106,16,16,,,,,95.04761904761905,0.0,,False
10027,KON,Kontaktstammdaten,638,638,0,0,622,266.0,3.8,0.0,,,1.6677115987460815,0.9764890282131662,0.0,0,0,0,0,0,,,,,97.4921630094044,0.0,,False
10031,MODFQMMGR,mod-fqm-manager,830,830,148,89,695,1058.0,1.5981873111782476,0.0,13.896898408239702,11.869502314814815,5.648192771084338,0.9481927710843373,0.0,0,0,2095,60,59,2023-08-29 03:00:05+00:00,2025-05-22 14:38:18+00:00,2023-08-29 04:07:47+00:00,2024-02-02 15:38:17+00:00,83.73493975903614,10.72289156626506,157.52652777777777,True
10033,MINC,In-Commerce,188,188,180,107,175,91.0,1.1666666666666667,18.833333334,182.29619537469713,102.8963888888889,1.9840425531914894,0.9148936170212766,0.005319148936170213,1,23,80,2,31,2009-05-18 16:38:47+00:00,2024-07-04 14:29:44+00:00,2009-10-03 12:35:31+00:00,2022-07-19 10:27:25+00:00,93.08510638297872,56.91489361702128,4809.742106481482,True
10035,CCSDK,Common Controller SDK,3988,3988,3862,2787,3649,168.0,4.9411764705882355,11.0,78.78069360556287,27.680995370370372,2.8525576730190574,0.44809428284854563,0.03911735205616851,156,2,1251,137,78,2017-05-26 17:59:11+00:00,2024-03-19 20:27:37+00:00,2017-07-24 13:45:27+00:00,2024-03-21 11:58:49+00:00,91.49949849548646,69.88465396188566,2490.7497453703704,True
10036,MGNLUI,Magnolia UI,7441,7441,7178,3013,6859,6788.0,3.626068376068376,14942.979166692,623.3541411829602,44.924618055555555,4.274828652062895,0.731353312726784,0.15105496573041258,1124,4177,6505,10,4,2006-10-23 16:45:11+00:00,2024-07-19 10:55:38+00:00,2012-10-28 16:26:46+00:00,2024-03-29 07:18:51+00:00,92.17847063566725,40.49186937239618,6366.606712962963,True
10037,ESS,Employee Self Service,1381,1381,0,0,1320,1325.5,1.1877240143369177,47.0,,,5.212889210716872,0.9949312092686459,0.015930485155684286,22,12,386,1,1,,,,,95.58291093410573,0.0,,False
10037,MAGNOLIA,Magnolia,7296,7296,7031,3098,6673,2982.0,3.6814814814814816,4735.55833335,599.8223471460082,30.959733796296298,3.1041666666666665,0.7687774122807017,0.15611293859649122,1139,1148,5626,1,4,2004-08-10 13:18:05+00:00,2024-07-16 12:54:21+00:00,2004-11-03 15:24:45+00:00,2024-03-27 10:41:56+00:00,91.4610745614035,42.46162280701755,7168.8915625,True
10038,DMAAP,Data Movement as a Platform,1866,1866,1864,1292,1818,856.0,4.28,5.083333333,69.40120890845374,14.943182870370372,2.463022508038585,0.3729903536977492,0.021436227224008574,40,2,944,119,94,2017-07-03 14:27:59+00:00,2024-02-17 20:50:39+00:00,2017-07-27 15:38:46+00:00,2023-10-09 18:59:23+00:00,97.42765273311898,69.2390139335477,2289.188472222222,True
10038,MEN,Mender,3831,3831,7,0,2730,14301.5,5.192992011619463,14.0,,,1.9916470895327592,0.8183241973375098,0.0,0,2,1938,575,575,2016-02-17 01:20:02+00:00,2021-09-21 14:25:59+00:00,,,71.26076742364917,0.0,,False
10039,CFE,CFEngine Community,4164,4164,2209,744,2329,1829.0,2.495225102319236,43.666666666,129.28182781578684,40.15623842592593,1.0706051873198847,0.3393371757925072,0.0,0,10,2146,48,48,2011-09-12 21:43:12+00:00,2016-08-25 14:38:58+00:00,2012-04-17 18:30:47+00:00,2018-04-24 16:05:59+00:00,55.931796349663784,17.86743515850144,2415.7658217592593,True
10041,HOLMES,Holmes,635,635,635,148,628,311.0,3.49438202247191,0.0,66.61330924674675,20.076516203703704,2.658267716535433,0.16535433070866143,0.04251968503937008,27,0,84,9,6,2017-06-29 00:57:44+00:00,2023-10-30 16:26:11+00:00,2017-11-07 06:21:54+00:00,2023-11-09 11:38:35+00:00,98.8976377952756,23.30708661417323,2324.4450347222223,True
10041,MGNLREST,Magnolia REST Framework,739,739,654,214,548,802.0,3.3983050847457625,3069.866666666,103.89881187262029,14.447118055555556,3.527740189445196,0.7537212449255751,0.04330175913396482,32,684,400,1,0,2013-05-06 12:02:01+00:00,2024-07-17 13:18:16+00:00,2013-10-28 15:22:39+00:00,2024-03-20 07:10:56+00:00,74.15426251691474,28.95805142083897,3970.797858796296,True
10046,MGNLTEST,Magnolia Test Framework,523,523,464,227,431,362.0,3.851063829787234,1364.733333336,91.4771933635177,24.960555555555555,3.095602294455067,0.7361376673040153,0.03824091778202677,20,496,297,0,0,2014-02-18 11:20:57+00:00,2024-07-03 12:15:18+00:00,2019-07-19 10:32:48+00:00,2024-07-12 03:21:31+00:00,82.40917782026769,43.40344168260038,3796.667060185185,True
10047,INP,In-Portal CMS,1836,1836,1789,510,1670,1230.0,1.221449851042701,846.983333301,316.6713832380174,93.60947337962963,1.8485838779956427,0.9558823529411765,0.0,0,637,1570,187,104,2009-05-15 07:14:36+00:00,2024-08-05 12:32:23+00:00,2009-11-13 19:46:57+00:00,2024-01-15 09:32:11+00:00,90.95860566448802,27.77777777777778,5358.095543981482,True
10050,MGNLDEMO,Magnolia Demo Projects,403,403,380,219,319,446.0,2.915032679738562,596.275000003,412.51880089421616,21.84255787037037,5.287841191066997,0.6203473945409429,0.23325062034739455,94,192,279,1,1,2014-10-10 07:55:11+00:00,2024-07-18 12:50:45+00:00,2015-04-23 10:44:27+00:00,2024-07-17 08:57:47+00:00,79.15632754342433,54.3424317617866,3568.043472222222,True
10050,MODDCB,mod-dcb,203,203,88,84,182,274.5,1.605263157894737,0.0,23.570977044753086,14.541880787037037,3.3842364532019706,1.4285714285714286,0.0,0,0,389,4,1,2023-07-24 10:24:21+00:00,2024-02-01 13:42:04+00:00,2023-08-25 05:38:11+00:00,2024-01-29 19:59:55+00:00,89.65517241379311,41.37931034482759,189.39969907407408,True
10056,DM,Data Management,50939,50939,41991,37505,39243,235836.891,6.303608130863604,3331.85833333,172.49102168743016,22.161053240740742,2.658572017511141,0.24815956339936002,0.0,0,371,41516,4442,4344,2014-03-04 09:37:43+00:00,2025-04-02 13:04:21+00:00,2014-03-08 00:40:28+00:00,2025-08-07 19:13:13+00:00,77.0392037535091,73.62727968746933,4174.399652777778,True
10058,MGNLCE,Community Edition,290,290,271,122,233,513.5,3.6161971830985915,569.416666666,183.3747356936855,13.880306712962962,4.537931034482758,0.6448275862068965,0.1310344827586207,38,177,238,0,0,2013-11-26 08:26:30+00:00,2024-07-16 08:32:57+00:00,2015-10-13 12:38:07+00:00,2024-06-25 14:34:12+00:00,80.3448275862069,42.06896551724138,3864.255347222222,True
10059,NPMCLI,Magnolia CLI,285,285,275,98,239,427.5,2.7403846153846154,235.0,219.20313078703705,21.53507523148148,3.9789473684210526,0.7684210526315789,0.07017543859649122,20,66,185,0,0,2016-04-05 14:50:44+00:00,2024-06-05 10:42:01+00:00,2016-04-05 16:32:05+00:00,2024-07-08 14:05:32+00:00,83.85964912280703,34.385964912280706,3015.968611111111,True
10060,MIFOS2X,Archive mifos 2.x,5913,5913,2513,0,4008,1001108.1,1022.582328907048,7990.233333372,,,2.9695585996955858,0.7659394554371723,0.1865381363098258,1103,1605,1389,0,0,2006-05-01 14:38:31+00:00,2010-02-19 20:31:10+00:00,,,67.78285134449517,0.0,,False
10061,CAP,Commissioning Activity Planning,1030,1030,976,727,765,168.0,2.4,0.0,168.00990170793216,47.959143518518516,1.429126213592233,0.23009708737864076,0.0,0,0,1395,25,51,2018-12-07 15:44:25+00:00,2024-02-27 21:01:48+00:00,2019-02-05 10:44:16+00:00,2024-02-08 16:30:58+00:00,74.27184466019418,70.58252427184466,1889.0323263888888,True
10061,CATTY,Catty,726,726,0,0,64,498.0,6.148148148148148,0.0,,,5.818181818181818,4.957300275482094,0.0,0,0,259,52,52,,,,,8.81542699724518,0.0,,False
10062,CATROID,Catroid,1475,1475,4,0,226,1452.0,4.551724137931035,0.0,,,5.999322033898305,6.088135593220339,0.0,0,0,717,108,103,2019-03-07 08:38:42+00:00,2022-01-25 06:14:17+00:00,,,15.322033898305085,0.0,,False
10063,STCC,Scratch To Catrobat Converter,290,290,0,1,29,65.0,5.416666666666667,0.0,,,6.541379310344827,4.213793103448276,0.0,0,0,66,8,8,,,2020-10-04 14:34:28+00:00,2020-10-04 14:34:28+00:00,10.0,0.3448275862068966,,False
10064,IDE,Catroid IDE,286,286,0,1,38,242.0,3.723076923076923,0.0,,,5.776223776223776,5.646853146853147,0.0,0,0,159,20,26,,,2024-04-11 11:25:40+00:00,2024-04-11 11:25:40+00:00,13.286713286713287,0.34965034965034963,,False
10068,PAINTROID,Paintroid,788,788,1,0,119,810.0,4.969325153374233,0.0,,,5.936548223350254,5.708121827411167,0.0,0,0,375,21,19,2022-11-10 09:33:26+00:00,2022-11-10 09:33:26+00:00,,,15.101522842639595,0.0,,False
10070,SHARE,Share Community Platform,587,587,2,1,73,571.0,5.767676767676767,0.0,,,6.2742759795570695,5.025553662691652,0.0,0,0,74,7,6,2020-06-07 06:51:55+00:00,2020-12-09 19:53:21+00:00,2020-03-27 08:04:24+00:00,2020-03-27 08:04:24+00:00,12.43611584327087,0.17035775127768313,-71.94966435185185,False
10071,OPG,OpenNMS Plugin for Grafana,489,489,0,0,395,292.0,3.65,13.5,,,2.3783231083844583,0.6952965235173824,0.07770961145194274,38,4,147,0,5,,,,,80.77709611451944,0.0,,False
