Project_ID,Project_Type,Team_Size,Project_Budget_USD,Estimated_Timeline_Months,Complexity_Score,Stakeholder_Count,Methodology_Used,Team_Experience_Level,Past_Similar_Projects,External_Dependencies_Count,Change_Request_Frequency,Project_Phase,Requirement_Stability,Team_Turnover_Rate,Historical_Risk_Incidents,Stakeholder_Engagement_Level,Schedule_Pressure,Budget_Utilization_Rate,Market_Volatility,Integration_Complexity,Resource_Availability,Priority_Level,Cross_Functional_Dependencies,Previous_Delivery_Success_Rate,Technical_Debt_Level,Project_Manager_Experience,Org_Process_Maturity,Key_Stakeholder_Availability,Tech_Environment_Stability,Resource_Contention_Level,Industry_Volatility,Client_Experience_Level,Change_Control_Maturity,Risk_Management_Maturity,Documentation_Quality,Current_Phase_Duration_Months,Seasonal_Risk_Factor,Total_Tasks,Completion_Percentage,Completed_Tasks,Overdue_Tasks,Delay_Percentage,Average_Delay_Days,Employee_Workload,Estimated_Effort_Hours,Actual_Effort_Hours,Risk_Level
PROJ_0040,R&D,16,1674408.75,18,6.94,17,Scrum,Mixed,0,3,1.3,Monitoring,Stable,0.39,2,Excellent,0.0,0.96,0.49,7.32,0.99,Low,4,0.51,0.0,Junior PM,Optimizing,Good,Unknown,High,Moderate,Strategic,Formal,Formal,Basic,6,1.0,96,67,64,1,13.45,10,High,2880,3267,Medium
PROJ_0041,Manufacturing,17,989499.48,21,8.55,8,Agile,Senior,3,6,1.41,Closure,Volatile,0.38,1,Low,0.02,0.75,0.82,1.61,0.57,High,2,0.88,0.0,Mid-level PM,Optimizing,Moderate,Unknown,Low,Extreme,Regular,Advanced,Advanced,Basic,4,1.0,102,30,30,2,13.14,4,High,3360,3801,Medium
PROJ_0042,IT,6,701205.27,12,5.7,11,Scrum,Junior,0,2,1.36,Planning,Stable,0.23,2,Medium,0.16,1.27,0.89,6.43,0.88,Low,0,0.62,0.55,Junior PM,Ad-hoc,Limited,Modern/Stable,Medium,Moderate,Regular,Basic,Basic,Basic,1,1.0,36,91,32,6,11.4,0,Medium,1920,2138,Medium
PROJ_0043,Construction,35,1884061.27,32,8.8,16,Waterfall,Mixed,1,5,0.49,Execution,Volatile,0.11,1,Low,0.0,1.26,0.09,7.79,0.64,High,5,0.82,0.0,Mid-level PM,Defined,Limited,Unknown,High,High,Occasional,Advanced,Formal,Good,4,1.0,175,78,136,2,19.13,5,High,5120,6099,Critical
PROJ_0044,Healthcare,19,1012232.55,17,5.63,13,Hybrid,Senior,1,1,0.79,Initiation,Moderate,0.04,0,Excellent,0.0,1.18,0.88,7.3,0.37,High,5,0.7,0.0,Mid-level PM,Ad-hoc,Poor,Unknown,High,Moderate,Strategic,Formal,Unknown,Good,4,1.0,133,12,15,6,7.23,3,Medium,2720,2916,High
PROJ_0045,R&D,24,2139554.93,20,7.23,16,Agile,Mixed,2,3,0.69,Planning,Moderate,0.24,4,Excellent,0.0,0.69,0.05,7.74,0.52,High,4,0.72,0.0,Junior PM,Ad-hoc,Good,Unknown,Medium,High,Strategic,Unknown,Basic,Good,7,1.0,168,96,161,4,19.43,14,Low,3200,3821,Critical
PROJ_0046,IT,6,664009.9,13,5.88,9,Agile,Senior,3,3,1.33,Initiation,Moderate,0.1,1,High,0.12,0.75,0.47,8.92,0.45,Low,2,0.91,0.2,Senior PM,Ad-hoc,Limited,Modern/Stable,Medium,High,Occasional,Unknown,Basic,Good,2,1.0,42,99,41,1,28.17,2,High,2080,2665,Medium
PROJ_0047,Manufacturing,9,913077.57,11,3.07,12,Agile,Senior,3,3,1.07,Closure,Stable,0.33,0,Poor,0.0,0.62,0.78,8.02,0.62,Medium,7,0.94,0.0,Senior PM,Managed,Moderate,Unknown,Low,Stable,Strategic,Unknown,Basic,Good,2,1.0,63,46,28,0,1.19,5,Medium,1760,1780,Medium
PROJ_0048,IT,22,1665756.98,26,10.0,13,Scrum,Mixed,2,4,0.24,Closure,Volatile,0.45,1,Poor,0.0,0.94,0.67,2.23,1.0,Medium,7,0.82,0.22,Mid-level PM,Defined,Moderate,Mixed,Medium,Extreme,Strategic,Basic,Formal,Basic,6,1.0,132,97,128,0,0.39,1,High,4160,4176,Medium
PROJ_0049,Construction,21,1001539.73,22,6.59,9,Waterfall,Mixed,2,2,0.74,Execution,Stable,0.36,1,Excellent,0.0,0.95,0.48,6.72,0.36,Medium,3,0.97,0.0,Mid-level PM,Managed,Poor,Unknown,Medium,Extreme,First-time,Advanced,Formal,Excellent,5,1.0,105,58,60,0,3.0,7,Medium,3520,3625,Medium
PROJ_0050,Healthcare,30,1567605.84,30,8.25,11,Waterfall,Junior,1,3,0.69,Monitoring,Moderate,0.78,0,Low,0.0,0.96,0.05,3.61,0.95,High,5,0.82,0.0,Junior PM,Managed,Good,Unknown,Medium,High,Strategic,Advanced,Formal,Good,3,1.0,150,28,42,6,21.43,0,Low,4800,5828,High
PROJ_0051,Marketing,8,389340.0,7,3.02,9,Hybrid,Expert,4,3,0.22,Initiation,Moderate,0.25,2,Poor,0.07,1.09,0.46,9.29,0.79,High,0,0.94,0.0,Certified PM,Optimizing,Limited,Unknown,Low,Moderate,Occasional,Advanced,Advanced,Basic,1,1.0,48,98,47,6,34.18,11,Low,1120,1502,Low
PROJ_0052,Marketing,9,745740.18,14,5.77,10,Agile,Junior,2,2,0.31,Initiation,Moderate,0.16,1,Medium,0.03,0.98,0.31,4.18,0.73,Low,7,0.83,0.0,Mid-level PM,Defined,Excellent,Unknown,High,High,Occasional,Basic,Basic,Poor,4,1.0,45,94,42,2,0.2,8,High,2240,2244,Medium
PROJ_0053,IT,10,837440.99,12,4.19,12,Kanban,Expert,1,2,1.37,Monitoring,Stable,0.03,1,Low,0.0,0.79,0.87,9.52,0.37,Medium,2,0.77,0.7,Mid-level PM,Managed,Limited,Mixed,High,Stable,Regular,Basic,Formal,Poor,3,1.0,60,21,12,1,37.47,7,High,1920,2639,Medium
PROJ_0054,R&D,12,1330371.62,16,7.27,14,Agile,Senior,5,5,0.56,Initiation,Moderate,0.2,1,Excellent,0.12,0.97,0.37,9.29,0.71,Low,4,0.78,0.0,Senior PM,Optimizing,Limited,Unknown,Medium,High,Occasional,Formal,Formal,Good,7,1.0,84,70,58,7,4.25,0,Medium,2560,2668,High
PROJ_0055,IT,13,1251156.17,18,6.68,9,Scrum,Mixed,0,2,0.74,Monitoring,Volatile,0.56,0,Excellent,0.0,0.83,0.51,9.47,0.91,Low,5,0.66,0.75,Junior PM,Managed,Limited,Mixed,High,High,Regular,Formal,Formal,Basic,4,1.0,78,50,39,6,33.68,9,Medium,2880,3849,High
PROJ_0056,Construction,19,1156788.24,20,4.64,11,Waterfall,Senior,3,2,4.27,Planning,Stable,0.17,0,High,0.0,0.96,0.76,7.11,0.84,High,0,0.63,0.0,Mid-level PM,Defined,Good,Unknown,Medium,Moderate,First-time,Unknown,Basic,Basic,3,1.0,133,42,55,1,19.31,11,High,3200,3817,Medium
PROJ_0057,Marketing,17,1334670.15,17,7.92,9,Agile,Mixed,1,4,2.69,Closure,Volatile,0.34,1,High,0.14,1.25,0.83,8.58,0.56,High,7,0.73,0.0,Mid-level PM,Managed,Moderate,Unknown,Medium,Extreme,Regular,Advanced,Basic,Poor,5,1.1,119,59,70,2,26.37,14,Medium,2720,3437,Critical
PROJ_0058,R&D,17,1773161.64,23,8.48,18,Agile,Mixed,2,5,1.79,Planning,Volatile,0.79,1,High,0.0,1.06,0.06,7.99,0.88,Critical,5,0.73,0.0,Senior PM,Defined,Excellent,Unknown,Medium,Extreme,Regular,Basic,Basic,Basic,3,1.0,68,77,52,6,20.43,8,Medium,3680,4431,High
PROJ_0059,IT,14,1135779.98,13,4.58,10,Scrum,Mixed,0,4,1.15,Closure,Stable,0.38,0,Low,0.0,0.99,0.86,6.28,0.71,Low,4,0.76,0.93,Junior PM,Ad-hoc,Poor,Mixed,Medium,Moderate,Strategic,Advanced,Unknown,Good,4,1.0,84,80,67,0,19.08,1,Medium,2080,2476,Medium
PROJ_0060,IT,7,986393.57,11,4.27,9,Kanban,Senior,4,1,2.78,Monitoring,Moderate,0.04,4,Low,0.0,0.9,0.61,8.93,0.92,Medium,7,0.9,1.0,Mid-level PM,Defined,Moderate,Modern/Stable,Medium,Moderate,Strategic,Basic,Basic,Poor,3,1.0,28,95,26,0,33.4,2,High,1760,2347,High
PROJ_0061,IT,13,1111271.59,22,8.08,9,Kanban,Expert,4,4,0.92,Monitoring,Stable,0.11,2,Medium,0.0,0.6,0.88,4.98,0.99,Medium,7,0.48,0.94,Senior PM,Managed,Limited,Legacy/Unstable,Low,High,Occasional,Advanced,Basic,Poor,4,1.1,78,42,32,4,30.24,1,Low,3520,4584,High
PROJ_0062,IT,15,1026056.67,15,5.83,13,Scrum,Senior,7,4,1.25,Execution,Volatile,0.07,2,Medium,0.0,0.6,0.79,6.65,0.83,Medium,0,0.75,0.04,Senior PM,Defined,Poor,Modern/Stable,High,Moderate,Regular,Unknown,Formal,Basic,6,1.0,90,90,81,5,19.34,12,Low,2400,2864,High
PROJ_0063,IT,7,618141.35,9,4.43,5,Kanban,Mixed,2,2,0.94,Initiation,Moderate,0.27,2,High,0.19,1.07,0.93,4.49,0.35,Low,0,0.88,0.67,Mid-level PM,Managed,Moderate,Modern/Stable,Medium,Moderate,Occasional,Formal,Advanced,Basic,1,1.0,28,33,9,3,4.47,13,Medium,1440,1504,Medium
PROJ_0064,Healthcare,6,467539.93,12,5.06,7,Scrum,Mixed,1,2,0.17,Monitoring,Stable,0.45,0,Poor,0.05,0.68,0.78,5.16,0.91,Critical,1,0.6,0.0,Junior PM,Defined,Good,Unknown,High,Moderate,First-time,Basic,Formal,Poor,1,1.0,24,70,16,7,4.62,7,High,1920,2008,High
PROJ_0065,IT,7,989069.32,12,4.51,10,Scrum,Mixed,2,2,1.21,Closure,Stable,0.33,2,Medium,0.0,0.77,0.79,1.29,0.85,Critical,3,0.89,0.9,Mid-level PM,Ad-hoc,Moderate,Modern/Stable,Medium,Stable,Strategic,Unknown,Unknown,Good,3,1.1,42,70,29,5,32.06,1,Medium,1920,2535,Medium
PROJ_0066,Marketing,9,574513.65,9,5.18,9,Agile,Mixed,1,2,0.93,Execution,Moderate,0.49,2,Excellent,0.31,1.23,0.44,7.75,0.67,Critical,3,0.84,0.0,Senior PM,Ad-hoc,Moderate,Unknown,High,Stable,Occasional,Formal,Basic,Good,1,1.1,45,37,16,6,21.18,9,Low,1440,1744,Medium
PROJ_0067,Marketing,7,411537.66,5,2.87,3,Scrum,Expert,4,3,1.64,Execution,Moderate,0.13,1,Low,0.3,0.87,0.45,8.02,1.0,Critical,0,0.71,0.0,Senior PM,Optimizing,Limited,Unknown,High,Stable,Occasional,Formal,Formal,Excellent,1,1.1,49,67,32,1,19.26,1,Medium,800,954,Low
PROJ_0068,Manufacturing,2,385034.63,7,4.48,9,Agile,Junior,0,3,0.74,Planning,Moderate,0.34,1,High,0.38,0.9,0.81,3.02,0.46,Low,5,0.83,0.0,Junior PM,Managed,Poor,Unknown,Low,Moderate,First-time,Advanced,Basic,Basic,1,1.0,8,52,4,6,27.22,14,Low,1120,1424,Medium
PROJ_0069,IT,15,1127068.27,15,6.18,11,Agile,Junior,1,3,0.95,Monitoring,Moderate,0.28,0,Medium,0.03,1.0,0.29,5.21,0.73,Critical,7,0.82,0.56,Junior PM,Managed,Limited,Mixed,Medium,Moderate,Regular,Basic,Formal,Excellent,2,1.0,105,50,52,1,34.35,0,High,2400,3224,Medium
PROJ_0070,Marketing,15,1278084.75,12,4.87,12,Agile,Senior,1,4,1.01,Monitoring,Moderate,0.3,0,Excellent,0.01,1.04,0.4,8.25,0.71,Critical,7,0.98,0.0,Senior PM,Optimizing,Good,Unknown,Medium,Stable,Strategic,Formal,Advanced,Good,2,1.0,75,48,36,1,25.15,6,Medium,1920,2402,Low
PROJ_0071,Manufacturing,9,908547.43,13,3.3,10,Kanban,Mixed,1,1,0.69,Execution,Stable,0.32,6,Excellent,0.0,0.76,0.48,2.24,0.36,High,1,0.8,0.0,Junior PM,Defined,Moderate,Unknown,High,High,Strategic,Unknown,Basic,Excellent,4,1.0,45,95,42,5,30.51,11,High,2080,2714,Medium
PROJ_0072,Construction,22,1844907.24,17,4.76,16,Hybrid,Senior,4,1,2.24,Execution,Moderate,0.23,4,Medium,0.0,1.09,0.36,9.2,0.31,Critical,4,0.7,0.0,Senior PM,Managed,Limited,Unknown,Low,Stable,Regular,Basic,Basic,Basic,7,1.0,110,58,63,3,30.61,1,Medium,2720,3552,Low
PROJ_0073,Construction,38,2238328.55,29,6.98,19,Waterfall,Mixed,0,4,0.83,Planning,Moderate,0.23,1,High,0.0,1.21,0.35,8.23,0.68,High,3,0.87,0.0,Senior PM,Defined,Moderate,Unknown,High,High,Strategic,Advanced,Unknown,Good,9,1.0,152,26,39,4,14.25,9,Medium,4640,5301,Low
PROJ_0074,R&D,19,2027111.9,22,7.81,18,Scrum,Senior,4,4,0.89,Monitoring,Stable,0.18,1,Medium,0.0,0.65,0.94,5.2,0.61,Low,7,0.75,0.0,Senior PM,Optimizing,Limited,Unknown,Low,Stable,Regular,Advanced,Formal,Good,5,1.0,95,79,75,5,10.96,4,Medium,3520,3905,Medium
